"","bx1....rep.0..times...100.","bx2....rep.0..times...100.","bx3....rep.0..times...100.","bz1....rep.0..times...100.","mod1_est.bx1....rep.0..times...100.","mod1_est.bx2....rep.0..times...100.","mod1_est.bx3....rep.0..times...100.","mod1_est.bz1....rep.0..times...100.","mod2_est.bx1....rep.0..times...100.","mod2_est.bx2....rep.0..times...100.","mod2_est.bx3....rep.0..times...100.","mod2_est.bz1....rep.0..times...100.","mod3_est.bx1....rep.0..times...100.","mod3_est.bx3....rep.0..times...100.","mod3_est.bx3....rep.0..times...100..1","mod3_est.bz1....rep.0..times...100.","mod4_est.bx1....rep.0..times...100.","mod4_est.bx2....rep.0..times...100.","mod4_est.bx3....rep.0..times...100.","mod4_est.bz1....rep.0..times...100.","mod5_est.bx1....rep.0..times...100.","mod5_est.bx2....rep.0..times...100.","mod5_est.bx3....rep.0..times...100.","mod5_est.bz1....rep.0..times...100.","bx1","bx2","bx3","bz1","mod1_est.bx1","mod1_est.bx2","mod1_est.bx3","mod1_est.bz1","mod2_est.bx1","mod2_est.bx2","mod2_est.bx3","mod2_est.bz1","mod3_est.bx1","mod3_est.bx2","mod3_est.bx3","mod3_est.bz1","mod4_est.bx1","mod4_est.bx2","mod4_est.bx3","mod4_est.bz1","mod5_est.bx1","mod5_est.bx2","mod5_est.bx3","mod5_est.bz1"
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0395777487102344,0.187352975691135,0.107224778306886,0.750653420268675,0.755713207937,0.0303425994511439,0.115949327012057,0.0754573586432645,0.0482987749332419,0.138999197133292,0.103244342930362,0.694150925432687,0.0479813529608851,0.141358161965608,0.103528233232538,0.694443257676928,0.0266027102799397,0.222683507865395,0.109689759632659,0.544486450627937,0.0259317526899904,0.159244484582923,0.124692185050582,0.720736092421294
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0680675496302058,0.053623528590255,0.0749743927055304,0.735675917636526,0.718673994017941,0.0421447129555527,0.0425215679827035,0.0584516523798484,0.104189346176333,0.0370869560560405,0.0927706286819309,1.08804750421747,0.104787549131754,0.0373021020824143,0.0920813787466436,1.09235909791898,0.0955900443474386,0.0543660421752183,0.0579549900827628,0.955532039145313,0.0684089262970344,0.0576447111513535,0.0678473013197883,0.741136643150824
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0576806528327736,0.0440230050564459,0.0681868486547046,0.753579775850417,0.781285233614484,0.0397890872713439,0.0339281157405823,0.0422788142182483,0.0307575016173212,0.0215988359600687,0.133862130274881,1.25967999432216,0.030239937394191,0.0208638297198325,0.137413690120308,1.25335278678132,0.0547365318268847,0.0518587487793826,0.152906266151925,0.975436839124592,0.0552877574738121,0.0476802672431902,0.105109408435129,0.849092804614904
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0374256271771183,0.0748991592403796,0.0441192089886889,0.759798250564334,0.73311412402354,0.0254292190551293,0.0481638089159635,0.0220484098187001,0.0244059616916165,0.0466117830287491,0.0694898750583824,0.964998284676804,0.0248915119271407,0.0462639973623889,0.0691899036741548,0.967260971604582,0.0435237008169933,0.0623976017304133,0.0552334678710333,0.824737610872761,0.0364779101623564,0.0463915857334778,0.0540710746699753,0.813237401736912
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0624951900640113,0.0682930019173552,0.0681439370610723,0.758599485355332,0.713136418336818,0.0194615324321725,0.0384670773786995,0.0289141094266848,0.0554645490429406,0.0342841548011551,-0.0573807002639245,0.443258325158323,0.0531235571709747,0.0341884033077617,-0.0603701508026209,0.444303132722375,8.92184466799769e-05,0.0872016423406754,-0.00165965839250247,0.623409307283521,0.0545256249930401,0.0662087088723332,0.0376058660665936,0.750677522537296
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0441720586963891,0.0834407849972554,0.750479031837551,0.748529524100527,0.738415580301114,0.0296384271041087,0.0500054424803481,0.552601327242217,0.0884286475504674,0.146418213298594,0.905941407278378,1.16736787428038,0.0890549140903446,0.147508218157827,0.913820450995532,1.1757905874145,0.0637231614093716,0.0997032079407939,0.760993992503037,0.954402619857031,0.0485389122194092,0.112666287012408,0.719205402807325,0.735604943955416
"27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107132306344654,0.7505353337888,0.250232350034397,0.741897506925208,0.751455212764773,0.0639413013496703,0.503764006389629,0.184698858038739,-0.0143176161120793,0.750414911616845,0.185674221060884,0.496058151191076,-0.0168906914017612,0.762660075972155,0.18919078286435,0.489958047026028,0.0128853560313921,0.653566425188234,0.256320305079275,0.828629191595092,0.0028074014284968,0.658738893817817,0.245666527164814,0.792317134668968
"28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0832727625590345,0.250002269913569,0.093758272255806,0.7189368750897,0.695522949435148,0.060646725897143,0.16916053840264,0.0529736675773021,0.076217552334695,0.12965193543807,0.00880261508134925,0.844685850490797,0.0767013145747002,0.132830519428894,0.0115749510186017,0.851788990717212,0.0843864344466085,0.145190525786864,-0.00515708616918976,0.825852706088373,0.0949165978707387,0.0775021413559586,0.0155647083113232,0.683599073136972
"29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250044594857718,0.039489239712314,0.0498912181353396,0.727296306997268,0.725896038001,0.157130802405144,0.0277389671776032,0.040114182142422,0.388900609286845,0.0486848589994229,0.0405025162974612,0.918683893782601,0.388192958810157,0.0491331671291505,0.0401574816746567,0.926651579210728,0.454372919522406,0.0298963005154096,0.0460499654241156,0.601369351572467,0.431830612075111,0.0254326871233774,0.046666877418941,0.684467725319757
"30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150588836570837,0.0469466681295487,0.0749921686754778,0.745503648590642,0.708600685992462,0.106851752812379,0.0317015409448285,0.0474769185853496,0.116377530292631,0.0689563473849404,0.130984246108979,0.931506516760585,0.115044325644015,0.0693685382872479,0.130145561922189,0.919988717368497,0.160085446350447,0.0586654755359582,0.115309019142105,0.756205472165845,0.197601714106416,0.0437764890002107,0.130924425198016,0.753475549377239
